발생시간(초),경도,위도,속도,누적주행거리,방향
0,126.91696684379498,37.47341408532935,16.0,4.3076923076923075,330.83398029459363
1,126.91694305499796,37.47344791354289,16.0,8.615384615384615,330.83399129494654
2,126.91691926620092,37.47348174175642,16.0,12.923076923076923,330.8340023658085
3,126.9168954774039,37.47351556996996,16.0,17.23076923076923,330.834013375353
4,126.91687168860688,37.4735493981835,16.0,21.538461538461537,335.7854385813298
5,126.91685202533849,37.47358409826466,16.0,25.846153846153847,359.3437908602169
6,126.91685146628951,37.47362283573155,16.0,30.153846153846153,359.3437912000802
7,126.91685090724056,37.47366157319843,16.0,34.46153846153846,359.34379154015926
8,126.91685034819159,37.47370031066531,16.0,38.76923076923077,359.3437918802925
9,126.91684978914262,37.47373904813219,16.0,43.07692307692307,359.3437922503438
10,126.91684923009366,37.473777785599076,16.0,47.38461538461538,359.3437925603444
11,126.91684867104469,37.473816523065956,16.0,51.69230769230769,359.34379290058627
12,126.91684811199572,37.47385526053284,16.0,56.0,315.74304863315194
13,126.91681349705323,37.47388345394919,15.0,60.27777777777778,314.46228132318265
14,126.91677890010455,37.47391040054386,15.0,64.55555555555556,314.4622916222221
15,126.91674430315585,37.47393734713853,15.0,68.83333333333333,314.46230195586014
16,126.91670970620716,37.4739642937332,15.0,73.11111111111111,315.85163935231503
17,126.91667594681887,37.473991894737004,15.0,77.38888888888889,316.43692355293877
18,126.9166425402936,37.47401977144246,15.0,81.66666666666666,316.4369342062138
19,126.9166091337683,37.474047648147916,15.0,85.94444444444444,316.43694489655564
20,126.91657572724303,37.47407552485337,15.0,90.22222222222223,316.4369555749087
21,126.91654232071775,37.47410340155883,15.0,94.5,316.4369662369503
22,126.91650891419248,37.47413127826428,15.0,98.77777777777777,316.4369769185889
23,126.9164755076672,37.47415915496974,15.0,103.05555555555556,316.43698756538794
24,126.91644210114191,37.47418703167519,15.0,107.33333333333333,316.4369982525181
25,126.91640869461663,37.474214908380645,15.0,111.61111111111111,317.78157916762945
26,126.91637619304387,37.47424333695778,15.0,115.88888888888889,328.48516653185703
27,126.91635085426697,37.474276133658144,15.0,120.16666666666667,328.4851777333644
28,126.91632551549006,37.47430893035851,15.0,124.44444444444444,328.485188937359
29,126.91630017671315,37.47434172705888,15.0,128.72222222222223,148.48514567572033
30,126.91637852612715,37.47424031718168,15.0,133.0,337.07252186300116
31,126.91629318701474,37.474400435796404,11.0,136.34782608695653,28.050648627091164
32,126.91631102694733,37.474427006835626,11.0,139.69565217391303,28.05064015627306
33,126.9163288668799,37.474453577874854,11.0,143.04347826086956,28.050631711065023
34,126.91634670681246,37.47448014891408,11.0,146.3913043478261,28.050623251619186
35,126.91636454674504,37.47450671995331,11.0,149.73913043478262,28.050614775330246
36,126.91638238667761,37.47453329099253,11.0,153.08695652173913,30.686355233013842
37,126.91640165044997,37.474559053200636,11.0,156.43478260869566,43.138809142748926
38,126.91642759061136,37.47458102279716,11.0,159.7826086956522,43.138800767360635
39,126.91645353077277,37.47460299239368,11.0,163.1304347826087,43.138792359786066
40,126.91647947093416,37.474624961990195,11.0,166.47826086956522,43.13878394806636
41,126.91650541109557,37.47464693158672,11.0,169.82608695652175,43.13877555703334
42,126.91653135125696,37.474668901183236,11.0,173.17391304347825,43.138767153577874
43,126.91655729141837,37.47469087077975,11.0,176.52173913043478,43.138758741838615
44,126.91658323157976,37.47471284037628,11.0,179.8695652173913,43.13875033837013
45,126.91660917174117,37.474734809972794,11.0,183.2173913043478,43.13874194317236
46,126.91663511190258,37.47475677956931,11.0,186.56521739130434,43.13873352727495
47,126.91666105206397,37.474778749165836,11.0,189.91304347826087,43.13872514034142
48,126.91668699222538,37.47480071876235,11.0,193.2608695652174,53.48729268222496
49,126.91671747362655,37.47481862721996,11.0,196.6086956521739,53.68749272043806
50,126.91674804336327,37.47483645668087,11.0,199.95652173913044,65.74763796250306
51,126.9167815431051,37.474848434151156,11.0,203.30434782608697,82.97135307412464
52,126.91681919519309,37.474852118294415,11.0,206.6521739130435,82.9713527397326
53,126.91685684728105,37.47485580243768,11.0,210.0,8.931417859615976
54,126.91686170196651,37.47488031779508,14.0,212.66023166023166,348.7677865378514
55,126.91685583005732,37.47490378358755,14.0,215.32046332046332,348.7677899229697
56,126.9168499581481,37.474927249380016,14.0,217.98069498069498,348.76779341037746
57,126.91684408623891,37.47495071517248,14.0,220.64092664092664,348.76779684738517
58,126.91683821432972,37.47497418096495,14.0,223.3011583011583,348.767800233993
59,126.91683234242052,37.474997646757416,14.0,225.96138996138995,349.4935535161159
60,126.91682684556852,37.47502116941422,14.0,228.6216216216216,349.60170526083004
61,126.91682140460762,37.475044700544956,14.0,231.28185328185327,349.60170846060754
62,126.91681596364671,37.47506823167569,14.0,233.94208494208493,349.60171166451124
63,126.91681052268581,37.47509176280643,14.0,236.6023166023166,349.6017148181007
64,126.91680508172489,37.475115293937165,14.0,239.26254826254825,349.6017180736988
65,126.91679964076398,37.4751388250679,14.0,241.9227799227799,349.6017212245422
66,126.91679419980308,37.47516235619864,14.0,244.58301158301157,349.6017244732698
67,126.91678875884217,37.475185887329374,14.0,247.24324324324323,349.60172767718245
68,126.91678331788127,37.47520941846011,14.0,249.9034749034749,349.601730879722
69,126.91677787692036,37.47523294959085,14.0,252.56370656370655,349.60173408226336
70,126.91677243595946,37.47525648072158,14.0,255.2239382239382,348.4009318466712
71,126.91676637517824,37.47527991482012,14.0,257.88416988416986,348.0801412007792
72,126.91676014880119,37.47530332299481,14.0,260.5444015444015,341.90796740586313
73,126.91675079541214,37.47532604437156,14.0,263.2046332046332,330.63742611913074
74,126.91673612739302,37.47534673498646,14.0,265.86486486486484,325.76378283718157
75,126.91671916726644,37.47536651359084,14.0,268.5250965250965,325.76378993842883
76,126.91670220713985,37.475386292195225,14.0,271.18532818532816,325.7637969511479
77,126.91668524701326,37.475406070799615,14.0,273.8455598455598,325.76380399099594
78,126.91666828688668,37.475425849404,14.0,276.50579150579154,324.50042303239604
79,126.91665079384877,37.47544531256586,14.0,279.16602316602314,320.7998881292808
80,126.91663174083794,37.47546385234373,14.0,281.82625482625485,320.7998950533897
81,126.91661268782713,37.47548239212159,14.0,284.48648648648646,320.79990206689894
82,126.9165936348163,37.47550093189946,14.0,287.1467181467182,320.7999089669452
83,126.91657458180548,37.47551947167732,14.0,289.8069498069498,320.7999159804631
84,126.91655552879465,37.47553801145519,14.0,292.4671814671815,320.79992294206585
85,126.91653647578383,37.475556551233055,14.0,295.1274131274131,320.7999298661964
86,126.916517422773,37.475575091010924,14.0,297.7876447876448,320.79993686047015
87,126.91649836976218,37.47559363078879,14.0,300.4478764478764,320.79994379905213
88,126.91647931675135,37.475612170566656,14.0,303.1081081081081,320.4064611836285
89,126.91646010400625,37.47563060582111,14.0,305.76833976833973,320.1705670102456
90,126.91644079549812,37.475648978412266,14.0,308.42857142857144,320.1705739434195
91,126.91642148698999,37.47566735100342,14.0,311.08880308880305,320.17058086684017
92,126.91640217848186,37.47568572359458,14.0,313.74903474903476,320.1705877853863
93,126.91638286997373,37.47570409618574,14.0,316.40926640926637,320.17059475571165
94,126.91636356146562,37.475722468776894,14.0,319.0694980694981,320.1706016517643
95,126.91634425295749,37.47574084136805,14.0,321.72972972972974,320.1706085800809
96,126.91632494444936,37.47575921395921,14.0,324.3899613899614,320.17061550352304
97,126.91630563594123,37.475777586550365,14.0,327.05019305019306,320.17062243672706
98,126.9162863274331,37.47579595914152,14.0,329.7104247104247,320.170629355299
99,126.91626701892497,37.47581433173268,14.0,332.3706563706564,320.170636303148
100,126.91624771041684,37.475832704323835,14.0,335.03088803088804,320.1706432168497
101,126.91622840190871,37.47585107691499,14.0,337.6911196911197,320.1706501354345
102,126.91620909340058,37.47586944950614,14.0,340.35135135135135,320.1706570735388
103,126.91618978489247,37.4758878220973,14.0,343.011583011583,320.1706640018898
104,126.91617047638434,37.475906194688456,14.0,345.6718146718147,320.1706709302451
105,126.91615116787621,37.47592456727961,14.0,348.33204633204633,320.17067786348343
106,126.91613185936808,37.47594293987077,14.0,350.992277992278,320.1706847918473
107,126.91611255085995,37.475961312461926,14.0,353.65250965250965,320.1706917104579
108,126.91609324235182,37.47597968505308,14.0,356.3127413127413,320.17069863883034
109,126.91607393384369,37.47599805764424,14.0,358.97297297297297,323.2487545813324
110,126.91605597377075,37.47601714420626,14.0,361.6332046332046,332.4092153825721
111,126.91604201157503,37.476038347568455,14.0,364.2934362934363,332.4092220946443
112,126.9160280493793,37.47605955093065,14.0,366.95366795366795,332.4092286922508
113,126.91601408718357,37.476080754292845,14.0,369.6138996138996,332.4092353972753
114,126.91600012498785,37.47610195765504,14.0,372.27413127413126,332.4092421164154
115,126.91598616279212,37.476123161017235,14.0,374.9343629343629,332.40924874631077
116,126.9159722005964,37.47614436437943,14.0,377.5945945945946,332.4092554155427
117,126.91595823840068,37.476165567741624,14.0,380.25482625482624,332.4092620988903
118,126.91594427620494,37.47618677110382,14.0,382.9150579150579,332.4092687575466
119,126.91593031400922,37.476207974466014,14.0,385.57528957528956,332.40927543737433
120,126.9159163518135,37.47622917782821,14.0,388.2355212355212,332.40928211367816
121,126.91590238961777,37.476250381190404,14.0,390.8957528957529,332.40928877587453
122,126.91588842742203,37.4762715845526,14.0,393.55598455598454,332.40929545924223
123,126.91587446522631,37.476292787914794,14.0,396.2162162162162,332.4093021249745
124,126.91586050303059,37.47631399127699,14.0,398.87644787644786,332.4093088048224
125,126.91584654083486,37.476335194639184,14.0,401.5366795366795,332.409315516951
126,126.91583257863914,37.47635639800138,14.0,404.1969111969112,332.4093221040305
127,126.9158186164434,37.47637760136357,14.0,406.85714285714283,332.4093288126393
128,126.91580465424768,37.47639880472577,14.0,409.5173745173745,332.40933553889147
129,126.91579069205196,37.47642000808796,14.0,412.17760617760615,332.40934216531554
130,126.91577672985623,37.47644121145016,14.0,414.8378378378378,338.0541040041058
131,126.91576550722465,37.47646331543202,14.0,417.49806949806947,342.5882257266318
132,126.91575648639802,37.47648614324758,14.0,420.15830115830113,342.5882306730608
133,126.9157474655714,37.47650897106313,14.0,422.8185328185328,342.5882357231771
134,126.91573844474478,37.476531798878696,14.0,425.47876447876445,342.58824066733257
135,126.91572942391815,37.47655462669425,14.0,428.13899613899616,342.5882456690314
136,126.91572040309151,37.47657745450981,14.0,430.79922779922776,342.58825071231826
137,126.91571138226489,37.476600282325364,14.0,433.4594594594595,342.58825565420307
138,126.91570236143826,37.47662311014092,14.0,436.1196911196911,342.5882607111716
139,126.91569334061164,37.476645937956484,14.0,438.7799227799228,342.58826569692667
140,126.91568431978502,37.47666876577204,14.0,441.4401544401544,342.58827065477533
141,126.91567529895839,37.476691593587596,14.0,444.1003861003861,342.58827569807653
142,126.91566627813177,37.47671442140315,14.0,446.7606177606177,342.5882806513723
143,126.91565725730514,37.476737249218715,14.0,449.42084942084944,342.5882856923999
144,126.91564823647852,37.47676007703427,14.0,452.08108108108104,342.58829063430494
145,126.9156392156519,37.47678290484983,14.0,454.74131274131275,342.5882956890141
146,126.91563019482527,37.47680573266538,14.0,457.40154440154436,342.5883006377628
147,126.91562117399863,37.476828560480946,14.0,460.0617760617761,344.718898257775
148,126.91561323185748,37.47685162981206,14.0,462.7220077220077,345.90183423129247
149,126.91560588871177,37.476874833257085,14.0,465.3822393822394,345.90183838160374
150,126.91559854556606,37.47689803670211,14.0,468.04247104247105,345.90184258995276
151,126.91559120242033,37.47692124014713,14.0,470.7027027027027,345.9018467890271
